,,,,,,,,,,,,,,
,74 / 82,,,,,Philly Historical Challenges,,,,,,,,90%
,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done
,38,2:06,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=126s,,,Regular,Brian Wenning,Switch Bs Tailslide Bs Bigspin Out,,The DC Video,,,,FALSE
,39,2:11,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=131s,,,Regular,Brian Wenning,Switch Bs 5-0 Bs Shove-It Out,,Photosynthesis,,,,TRUE
,40,2:15,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=135s,,,Regular,Brian Wenning,Switch Bs Smitch,,Photosynthesis,,,,TRUE
,41,3:48,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=228s,,,Regular,Brian Wenning,Bs Nosegrind,,Photosynthesis,,,,TRUE
,42,3:44,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=224s,,,Regular,Brian Wenning,Switch Bs Nosegrind,,Photosynthesis,,,,TRUE
,43,0:53,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=53s,,,Regular,Brian Wenning,Switch 360 Flip - Switch Bs Tailslide,,Photosynthesis,,,,TRUE
,44,4:06,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=246s,,,Regular,Brian Wenning,Kickflip Bs Tailslide - Nollie Heel Bs Tailslide,,The DC Video,,,,TRUE
,45,2:46,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=166s,,,Regular,Chris Cole,Bs 5-0 Bs Shove-It Out - Bs Crooked Nollie Heel Out,,411VM Issue 40,,,,TRUE
,46,0:24,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=24s,,,Regular,Chris Cole,Switch Fs Kickflip  - Ollie Manual Kickflip Out,,411VM Issue 40,,,,TRUE
,47,10:10,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=610s,,,Goofy,Josh Kalis,Fs Noseblunt,,The DC Video,,,,TRUE
,48,10:15,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=615s,,,Goofy,Josh Kalis,Switch Fs Tailslide,,The DC Video,,,,TRUE
