,,,,,,,,,,
,68 / 68,,,Pier 7 Historical Challenges,,,,,,100%
,,,,,,,,,,
,#,Time,,Stance,Skater,Trick,Location,Film Source,,Done
,43,1:18,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=78s,Goofy,Corey Duffel,Kickflip - Fs Lipslide,,,,TRUE
,44,1:24,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=84s,Goofy,Erik Ellington,Bs PopShuvIt - Fs Noseslide,,,,TRUE
,45,2:15,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=135s,Goofy,Eric Koston,Nollie - Bs Crooked,,,,TRUE
,46,2:20,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=140s,Goofy,Eric Koston,Nollie - Bs Noseslide,,,,TRUE
,47,2:25,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=145s&pp=0gcJCTAAlc8ueATH,Goofy,Eric Koston,Switch Ollie - Fs Tailslide,,,,TRUE
,48,2:31,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=151s,Goofy,Gershon Mosley,Switch Ollie - Fs 50-50,,,,TRUE
,49,0:25,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=25s,Regular,Jason Dill,Fs Nollie - Bs 50-50,,,,TRUE
,50,0:31,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=31s,Regular,Jason Dill,Nollie - Fs Tailslide,,,,TRUE
,51,2:36,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=156s,Goofy,Jeremy Wray,Fs Ollie - Bs 5-0,,,,TRUE
,52,2:42,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=162s,Goofy,Jeremy Wray,Fs 180 Ollie - Bs Lipslide,,,,TRUE
,53,2:48,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=168s,Goofy,Jeremy Wray,Fakie Ollie - Fs Noseslide,,,,TRUE
,54,1:29,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=89s,Goofy,Jeremy Wray,Bs PopShuvIt - Fs 5-0,,,,TRUE
,55,1:36,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=96s,Goofy,Jeremy Wray,Switch Ollie - Bs Noseslide,,,,TRUE
,56,2:53,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=173s,Goofy,Jeremy Wray,Switch Ollie - Fs Noseslide,,,,TRUE
,57,2:59,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=179s,Goofy,Jerry Hsu,Nollie - Bs Tailslide,,,,TRUE
,58,1:41,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=101s,Goofy,Josh Kalis,Switch Ollie - Bs Tailslide,,,,TRUE
,59,0:00,https://www.youtube.com/watch?v=H-HdLxI6ijc,Regular,Steve Olson,Fs Ollie - Bs 5-0 - Switch Fs Shuvit,,,,TRUE
,60,0:05,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=5s,Regular,Steve Olson,Fs Ollie - Bs 5-0 - Switch Bs Shuvit,,,,TRUE
,61,0:35,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=35s,Regular,Steve Olson,Fs 5-0,,,,TRUE
,62,0:09,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=9s,Regular,Steve Olson,Bs Tailslide - Bs Shuvit,,,,TRUE
,63,0:14,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=14s,Regular,Torey Pudwill,Nollie Heelflip - Bs Crooked,,,,TRUE
,64,5:13,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=313s,Goofy,Stevie Williams,Fakie - Fakie Nose Manual - Fakie Hardflip,,,,TRUE
,65,5:19,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=319s,Goofy,Stevie Williams,Ollie - Nose Manual - Nollie Inward Heelflip,,,,TRUE
,66,5:24,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=324s,Goofy,Stevie Williams,Nollie - Nose Manual - Nollie Kickflip,,,,TRUE
,67,5:29,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=329s,Goofy,Stevie Williams,Switch Kickflip - Switch Manual - Switch Ollie,,,,TRUE
,68,5:33,https://www.youtube.com/watch?v=H-HdLxI6ijc&t=333s,Goofy,Stevie Williams,Switch Heelflip - Fakie Nose Manual - Fakie Hardflip,,,,TRUE
,,,,,,,,,,Home
