,,,,,,,,,,,,,,,,
,73 / 73,,,,,Lower Manhattan Historical Challenges,,,,,,,,100%,,
,,,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done,,
,42,4:24,https://www.youtube.com/watch?v=2EVPt1Wssy0,264,267,Goofy,Cairo Foster ,Fs Noseblunt,,,,,,TRUE,,
,43,3:22,https://www.youtube.com/watch?v=2EVPt1Wssy0,202,206,Regular,Chad Muska ,Fs Tailslide,,,,,,TRUE,,
,44,5:56,https://www.youtube.com/watch?v=2EVPt1Wssy0,356,359,Goofy,Chris Blake ,Switch Fs Bluntslide,,,,,,TRUE,,
,45,0:54,https://www.youtube.com/watch?v=2EVPt1Wssy0,54,58,Regular,Danny Way ,Bs Noseslide,,,,,,TRUE,,
,46,1:43,https://www.youtube.com/watch?v=2EVPt1Wssy0,103,108,Regular,Crea-Ture Studio ,Bs smith,,,,,,TRUE,,
,47,6:00,https://www.youtube.com/watch?v=2EVPt1Wssy0,360,364,Goofy,Mike Franklin ,Bs Salad,,,,,,TRUE,,
,48,2:27,https://www.youtube.com/watch?v=2EVPt1Wssy0,147,151,Regular,Jahmal Williams ,Fs Smith,,,,,,TRUE,,
,49,2:32,https://www.youtube.com/watch?v=2EVPt1Wssy0,152,157,Regular,Jahmal Williams ,FsTail,,,,,,TRUE,,
,50,3:54,https://www.youtube.com/watch?v=2EVPt1Wssy0,234,238,Goofy,Justin Pierce ,Fs 5-0,,,,,,TRUE,,
,51,5:19,https://www.youtube.com/watch?v=2EVPt1Wssy0,319,324,Goofy,Louis Tolention ,Bs lipslide,,,,,,TRUE,,
,52,6:04,https://www.youtube.com/watch?v=2EVPt1Wssy0,364,368,Goofy,Manny Santiago ,Bs Feeble,,,,,,TRUE,,
,53,0:59,https://www.youtube.com/watch?v=2EVPt1Wssy0,59,62,Regular,Chad Muska ,Fs 5-0,,,,,,TRUE,,
,54,6:09,https://www.youtube.com/watch?v=2EVPt1Wssy0,369,372,Goofy,Nick Dompierre ,Bs Noseblunt,,,,,,TRUE,,
,55,6:13,https://www.youtube.com/watch?v=2EVPt1Wssy0,373,377,Goofy,Nick Fiorini ,Bs Smith,,,,,,TRUE,,
,56,3:27,https://www.youtube.com/watch?v=2EVPt1Wssy0,207,210,Regular,Ryan Bobier ,Fs Boardslide,,,,,,TRUE,,
