,,,,,,,,,,
,45 / 45,,,Black Hubbas Historical Challenges,,,,,,100%
,,,,,,,,,,
,#,Time,,Stance,Skater,Trick,Location,Film Source,,Done
,26,0:20,https://youtu.be/ZCqfmWa4bP8?si=tVPI_AOCAzSq-QGy&t=20,Regular,Jake Johnson,Kickflip Bs Lipslide,,Alien Workshop - Mindfeild,,TRUE
,27,2:54,https://youtu.be/ZCqfmWa4bP8?si=eOb7uYPcpr6w12AF&t=174,Goofy,Mark Gonzales,Bs Boardslide,,Instagram,,TRUE
,28,2:59,https://youtu.be/ZCqfmWa4bP8?si=61RJrOApkq7bDLZm&t=179,Goofy,Mark Suciu,Bs 180 Crooked Grind,,Adidas - Away Days,https://youtu.be/uyf9bhL56YA?si=nEKv4pTk2YNmd3TH&t=759,TRUE
,29,3:04,https://youtu.be/ZCqfmWa4bP8?si=je9sbO5LZ4ta353i&t=184,Goofy,Mark Suciu,Bs Lipslide Kickflip Out,,Adidas - Verso,,TRUE
,30,3:09,https://youtu.be/ZCqfmWa4bP8?si=6dBk1RLP-YkPNlkS&t=189,Goofy,Mark Suciu,Bs Noseblunt,,Adidas - Verso,,TRUE
,31,3:14,https://youtu.be/ZCqfmWa4bP8?si=34nj0_i8qGVZ5b5E&t=194,Goofy,Mark Suciu,Fs Boardslide Ollie Bs 270 Out,,Adidas - Verso,,TRUE
,32,3:40,https://youtu.be/ZCqfmWa4bP8?si=fp1vrC7viAv5xqd2&t=220,Goofy,Mark Suciu,360 Flip - Fs Blunt,,,,TRUE
,33,3:20,https://youtu.be/ZCqfmWa4bP8?si=fIxbnY64LGobuM9m&t=200,Goofy,Tom Knox,Ollie Up - Pop Shove-It Off,,Atlantic Drift  - Ep. 4 - New York,https://youtu.be/w1oFGHnHbbs?si=5FnkYBY75N2Wptjs&t=179,TRUE
,34,0:25,https://youtu.be/ZCqfmWa4bP8?si=bl8hWE8MMLoNBCs6&t=25,Regular,Tyshawn Jones,Kickflip Bs Tailslide,,Supreme - Joyride,,TRUE
,35,0:37,https://youtu.be/ZCqfmWa4bP8?si=ppPaTf9VQJBnvNYK&t=37,Regular,Walker Ryan,Fs Ollie - Switch Bigflip Off,,ABD NYC,,TRUE
,36,0:42,https://youtu.be/ZCqfmWa4bP8?si=HHsXsxmBVVmEuHYb&t=42,Regular,Walker Ryan,Fs Ollie - Switch Bs Off,,ABD NYC,,TRUE
,37,0:48,https://youtu.be/ZCqfmWa4bP8?si=e6-nqyoLt0Zk27KG&t=48,Regular,Walker Ryan,Ollie Up - Fs Bigspin Off,,,,TRUE
,38,0:32,https://youtu.be/ZCqfmWa4bP8?si=HwGT13b9DXESqQs6&t=32,Regular,Zared Bassett,Switch 360 Flip Fs Lipslide,,Zoo York - State of Mind,https://youtu.be/S6snwVy7x-4?si=ET-i02g8OQFR4DfH&t=2374,TRUE
,39,1:20,https://youtu.be/ZCqfmWa4bP8?si=HRkArQKcRnniVST1&t=80,Regular,Brian Wenning,Switch Bs Crooked Grind,,Late 90's B-roll,,TRUE
,40,1:25,https://youtu.be/ZCqfmWa4bP8?si=9WPkA9fYhMzr9U2t&t=85,Regular,Jack Curtin,Switch Nosegrind,,LRG - Give Me My Money Chico,,TRUE
,41,3:51,https://youtu.be/ZCqfmWa4bP8?si=czN9WAjGU1mPNA2W&t=231,Goofy,Josh Kalis,Bs Tailslide,,Transworld - The Sixth Sense,,TRUE
,42,1:30,https://youtu.be/ZCqfmWa4bP8?si=s8IoWs5sBAQWkmZn&t=90,Regular,Lucas Puig,Switch Kickflip Bs Tailslide,,New York City,,TRUE
,43,3:57,https://youtu.be/ZCqfmWa4bP8?si=_l3Lcszf0sgU_cPV&t=237,Goofy,Keith Hufnagel,Bs Lipslide,,Foudation - Interface,,TRUE
,44,1:35,https://youtu.be/ZCqfmWa4bP8?si=1xLXPGRG57D07c7V&t=95,Regular,Jimmy McDonald,Switch Bs Tailslide Bs Shove-It Out,,5BORO - Join or Die,,TRUE
,45,4:04,https://youtu.be/ZCqfmWa4bP8?si=o8luQYeGqmRrM2VK&t=244,Goofy,Mark Suciu,Bs Bluntslide Fs 180 Out - Bs 180 Ollie,,New York City,,TRUE
,,,,,,,,,,Home
